id,title,artist,year,genre,style,master_id,release_country,labels,format,rating,have,want,url,image_url
403224,The Eminem Show,Eminem,2002,Hip Hop,"Hardcore Hip-Hop, Pop Rap",12344,Europe,"Aftermath Entertainment, Shady Records, Web Entertainment","LP, Album",4.4,4020,2564,https://www.discogs.com/release/403224-Eminem-The-Eminem-Show,https://i.discogs.com/NM4QBubrGtvFu_308W3oho5qCXlfwidtH-2XhQaIJ6c/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMzIy/NC0xMzc5MjY3MTg2/LTUwNTUuanBlZw.jpeg
1684688,Head Cleaner,Popof,2009,Electronic,Minimal Techno,251630,Germany,AFU Limited,"12"", 45 RPM",4.22,294,154,https://www.discogs.com/release/1684688-Popof-Head-Cleaner,https://i.discogs.com/uiwpYGTOYd0q_Jxr_wCawPEy6RPu8kOGaXEG_f2HiXM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2ODQ2/ODgtMTMyMzgxMzk2/NS5qcGVn.jpeg
9241732,Intercity Ep,Silvia Trix,2016,Electronic,Techno,N/A,Germany,AFULAB,"12""",4.44,57,20,https://www.discogs.com/release/9241732-Silvia-Trix-Intercity-Ep,https://i.discogs.com/AmQNfYDujZkeP2xqHGn1x7969BQ5L255p6uLfKIQTbc/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkyNDE3/MzItMTQ3NzIyMTM5/MS0xNDAyLmpwZWc.jpeg
9395142,Olympic,French 79,2016,Electronic,"Deep House, IDM, Synth-pop",1094134,France,Alter K,"LP, Album",4.67,1075,644,https://www.discogs.com/release/9395142-French-79-Olympic,https://i.discogs.com/n_Rca1QMeiYVuU-AUuvc46N3sNk3epNcSF1JAPJR8CY/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkzOTUx/NDItMTQ3OTgwOTY5/OS04NDY3LmpwZWc.jpeg
12641837,Toxicity,System Of A Down,2018,Rock,"Nu Metal, Thrash, Alternative Rock",35626,Europe,American Recordings,"LP, Album, Reissue, Stereo",4.66,12481,1904,https://www.discogs.com/release/12641837-System-Of-A-Down-Toxicity,https://i.discogs.com/0JlCbGykw0XR9hmE9TL_Tb50CO0ATUM9iJllw5X6yXQ/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjQx/ODM3LTE2ODE1NTY0/MDAtMjkxMi5qcGVn.jpeg
10442772,Territory,The Blaze,2017,Electronic,"Hip Hop, Electro House",1321412,France,Animal63,"12"", 45 RPM, EP",4.65,2988,1039,https://www.discogs.com/release/10442772-The-Blaze-Territory,https://i.discogs.com/MLmo_UHe8GVV7vlT8F1-TaUVlIPuhqJy6NPl-MMpWk0/rs:fit/g:sm/q:90/h:600/w:581/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDQy/NzcyLTE3MTE2MjE2/MDktNTg0OC5qcGVn.jpeg
20773192,If Words Were Flowers,Curtis Harding,2021,Funk / Soul,"Psychedelic, Soul",2358691,USA & Europe,Anti-,"LP, Album",4.43,807,194,https://www.discogs.com/release/20773192-Curtis-Harding-If-Words-Were-Flowers,https://i.discogs.com/Ymy_ZFLc1uEFe2X2vI31XfVeZ2IvUe13IDYJIKvWU5E/rs:fit/g:sm/q:90/h:599/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwNzcz/MTkyLTE2NDE5Mjk4/NzYtOTE1NC5qcGVn.jpeg
1638442,1,The Beatles,2000,Rock,"Pop Rock, Psychedelic Rock, Beat",447254,Worldwide,"Apple Records, Apple Records, Apple Records","LP, Compilation, Stereo, Mono",4.69,6178,1415,https://www.discogs.com/release/1638442-The-Beatles-1,https://i.discogs.com/ePUFdVyLQvg_SzbAqdDsbUZ8g3SNRhg5TBdA_fvHq5c/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2Mzg0/NDItMTQxMzEwNDQy/MC01MjE4LmpwZWc.jpeg
1279085,The Legend Lives...,Ray Charles,1982,Funk / Soul,Rhythm & Blues,209413,Europe,"Arcade, Arcade","LP, Compilation, Stereo",3.88,780,30,https://www.discogs.com/release/1279085-Ray-Charles-The-Legend-Lives,https://i.discogs.com/kJq1u7xKPTEsZ02glS6K_cK5AFr6izjr93QHYRg8d8Q/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNzkw/ODUtMTUyNDY2OTg0/MC0yNzE5LmpwZWc.jpeg
4867103,"""Abracadaboum!""",Bérurier Noir,2013,Rock,Punk,1398,France,Archives De La Zone Mondiale,"LP, Reissue",4.65,678,82,https://www.discogs.com/release/4867103-Bérurier-Noir-Abracadaboum,https://i.discogs.com/BgmSCgLZe3lmo0hv0zRI1AmNDmf0NLLioLXbJ4oduGU/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ4Njcx/MDMtMTY2Nzc4ODIw/MS00ODc1LmpwZWc.jpeg
4116894,Ghostbusters (Bande Sonore Originale Du Film),Various,1984,"Electronic, Rock, Pop","Modern Classical, Pop Rock, Synth-pop",84762,Europe,Arista,"LP, Album",3.7,584,127,https://www.discogs.com/release/4116894-Various-Ghostbusters-Bande-Sonore-Originale-Du-Film,https://i.discogs.com/cFEUZk25mUOgLSdVasMRtzbxSDb6AGJGpPtXXRm3gWw/rs:fit/g:sm/q:90/h:571/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxMTY4/OTQtMTY5MDk2OTcw/OS00MTg1LmpwZWc.jpeg
2470454,A Woman Needs Love,Ray Parker Jr.,1981,Funk / Soul,"Disco, Funk",85607,US,Arista,"LP, Album",4.29,251,136,https://www.discogs.com/release/2470454-Ray-Parker-Jr-And-Raydio-A-Woman-Needs-Love,https://i.discogs.com/Q0nlHd1GvFlNX2UNIJLLjynzZQZWgoNUxIerw28d7qk/rs:fit/g:sm/q:90/h:592/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NzA0/NTQtMTI4NTg1NDg0/NC5qcGVn.jpeg
